,"درپوش سوکت
(تعداد در کیسه)","درپوش لوله
(تعداد در کیسه)","اسپیسر
(تعداد در کیسه)","سیکل بلینگ
(ثانیه)",حفره بلینگ,"وزن یک متر لوله
(کیلو گرم)",ZB332,PNR230,آسیابی,ضد آتش,"وزن یک متر کاور به گرم
(رول صنعتی)"
70216010,160,160×100 D,لوله 160 یک متری دوسر سوکت,175,2,2,2,0,1.14,1.1,
70216020,160,160×200 D,لوله 160 دو متری دوسر سوکت,275,2,3,2,0,2.14,1.1,
70216030,160,160×300 D,لوله 160 سه متری دوسر سوکت,375,2,3,2,0,3.14,1.1,
70020003,200,200×30 E,لوله 200 سی سانتی یکسر سوکت,78,,1,1,1,0.37,1,
70020005,200,200×50 E,لوله 200 نیم متری یکسر سوکت,102,,2,1,1,0.57,1,
70020010,200,200×100 E,لوله 200 یک متری یکسر سوکت,154,,2,1,1,1.07,1.7,
70020020,200,200×200 E,لوله 200 دو متری یکسر سوکت,252,,3,1,1,2.07,1.7,
70020030,200,200×300 E,لوله 200 سه متری یکسر سوکت,352,,3,1,1,3.07,1.7,
70220005,200,200×50 D,لوله 200 نیم متری دوسر سوکت,110,,2,2,0,0.64,1.7,
70220010,200,200×100 D,لوله 200 یک متری دوسر سوکت,164,,2,2,0,1.14,1.7,
70220020,200,200×200 D,لوله 200 دو متری دوسر سوکت,260,,3,2,0,2.14,1.7,
70220030,200,200×300 D,لوله 200 سه متری دوسر سوکت,360,,3,2,0,3.14,1.7,
